,lat,lon,timestamp,amenity,name,tags
13,49.1266497,-123.1824699,2020-03-30T09:08:51.000-07:00,restaurant,Best Bite Indian Cuisine,['indian']
58,49.1712762,-123.1348734,2019-10-27T17:08:25.000-07:00,restaurant,Oriental Rice Noodle,['chinese']
65,49.1327053,-123.0991859,2019-08-24T15:12:34.000-07:00,restaurant,Nando's,"['chicken', 'portuguese']"
66,49.1330103,-123.0955358,2019-08-24T15:12:34.000-07:00,restaurant,Boston Pizza,['pizza']
121,49.2665754,-123.103744,2018-10-26T20:30:44.000-07:00,restaurant,Peaceful Restaurant,N/A
253,49.2779185,-122.912361,2019-11-14T08:54:00.000-08:00,restaurant,Pho 99,N/A
300,49.281302,-123.0575579,2019-09-13T13:57:03.000-07:00,restaurant,Tacofino Commissary,N/A
301,49.2812984,-123.0573443,2019-09-13T13:57:03.000-07:00,restaurant,Miyako Sushi,N/A
302,49.2812866,-123.0550913,2019-09-13T13:57:03.000-07:00,restaurant,What's Up? Hot Dog!,N/A
304,49.2832655,-123.0978958,2019-09-13T13:57:03.000-07:00,restaurant,St Lawrence Restaurant,N/A
305,49.2832876,-123.0980745,2019-09-13T13:57:03.000-07:00,restaurant,Cuhillo,N/A
308,49.2796054,-123.1002799,2019-09-13T13:57:03.000-07:00,restaurant,Juniper,N/A
309,49.2796207,-123.1011093,2019-09-13T13:57:04.000-07:00,restaurant,Gold Stone Bakery & Restaurant,N/A
311,49.2831638,-123.1035309,2019-09-13T13:57:04.000-07:00,restaurant,The Sardine Can,N/A
314,49.2834234,-123.1064112,2019-09-13T13:57:04.000-07:00,restaurant,Jules Bistro,N/A
319,49.2427766,-123.0040514,2018-04-28T05:57:25.000-07:00,restaurant,Crystal Palace,['chinese']
322,49.1720953,-123.1336083,2019-09-13T13:57:04.000-07:00,restaurant,Tokyo Joe's,N/A
324,49.325981,-123.1423367,2020-05-29T04:38:32.000-07:00,restaurant,Cactus Club Cafe,N/A
330,49.2873953,-123.1288386,2019-10-24T00:55:34.000-07:00,restaurant,JoongWon,N/A
332,49.287665,-123.1292506,2016-07-27T15:29:41.000-07:00,restaurant,Stepho's,['greek']
334,49.2875709,-123.1291089,2019-10-24T00:55:34.000-07:00,restaurant,Hon's Wun-Tun House,['chinese']
335,49.2873728,-123.1282271,2019-10-29T03:23:55.000-07:00,restaurant,miss KOREAN BBQ,N/A
336,49.2871553,-123.1290789,2019-03-22T02:54:41.000-07:00,restaurant,Forage,N/A
337,49.2870445,-123.128902,2019-09-18T23:00:49.000-07:00,restaurant,Timber,['american']
338,49.2874858,-123.1289807,2019-10-24T00:55:34.000-07:00,restaurant,Miko Sushi,"['japanese', 'sushi']"
339,49.2875631,-123.129718,2019-09-18T23:00:49.000-07:00,restaurant,Cora,['breakfast']
358,49.2623529,-123.0894813,2019-09-13T13:56:59.000-07:00,restaurant,Hail Mary's,N/A
408,49.1203849,-122.6632837,2019-09-13T13:56:49.000-07:00,restaurant,Umami Sushi,N/A
456,49.2821191,-123.1336624,2020-03-14T19:34:44.000-07:00,restaurant,Ramen Koika,N/A
596,49.2764267,-122.849875,2019-08-15T22:46:05.000-07:00,restaurant,Spacca Napoli,['pizza']
638,49.2643451,-123.1757208,2019-10-09T05:11:15.000-07:00,restaurant,Deacon's Corner,N/A
657,49.2863279,-123.1256179,2019-08-28T07:25:01.000-07:00,restaurant,Kirin Mandarin Restaurant,N/A
658,49.285993500000004,-123.1250868,2019-09-13T13:56:59.000-07:00,restaurant,Pink Elephant Thai,['thai']
662,49.28525,-123.1254062,2016-08-09T19:10:21.000-07:00,restaurant,Fantacity Karaoke,['asian']
710,49.1795513,-123.1375541,2018-06-20T15:12:27.000-07:00,restaurant,FuKuRoKu Sushi Express,['sushi']
722,49.2643899,-123.0695091,2019-09-13T13:56:59.000-07:00,restaurant,Cabrito - Tapas Bebidas,N/A
736,49.2848652,-123.125665,2019-10-18T16:32:50.000-07:00,restaurant,Spicy 6,['indian']
739,49.1842852,-123.0911234,2018-06-20T15:12:22.000-07:00,restaurant,Daddy's Delight Kabobs,N/A
744,49.1681085,-122.6675276,2019-12-20T09:33:37.000-08:00,restaurant,Waka Sushi,N/A
751,49.2500121,-123.1008107,2017-11-05T20:43:41.000-08:00,restaurant,French Table Bistro,N/A
753,49.2802067,-123.099978,2016-10-24T07:14:50.000-07:00,restaurant,Golden Garden Vietnamese Cuisine,N/A
754,49.2498744,-123.1007808,2020-02-03T00:34:17.000-08:00,restaurant,Old Bird,N/A
755,49.2797553,-123.0999341,2016-10-24T07:11:31.000-07:00,restaurant,Virtuous Pie,N/A
760,49.2452109,-123.101511,2017-04-01T04:50:11.000-07:00,restaurant,East is East - Main St,N/A
764,49.1697933,-123.1378771,2017-07-19T23:02:01.000-07:00,restaurant,Kirin Seafood Restaurant,N/A
766,49.2890376,-123.1320221,2016-09-28T04:42:02.000-07:00,restaurant,Liuyishou Hotpot Robson,N/A
767,49.0763979,-122.3935046,2017-02-20T16:26:09.000-08:00,restaurant,Brambles Bistro,N/A
781,49.1872417,-123.131495,2019-09-13T13:56:59.000-07:00,restaurant,The Captain's Boil,['seafood']
782,49.1874849,-123.1312122,2018-09-27T08:15:39.000-07:00,restaurant,Kyabia,['japanese']
783,49.2766268,-123.1001058,2018-10-26T20:30:47.000-07:00,restaurant,Pizza Farina,['pizza']
788,49.2743218,-123.1269429,2019-09-13T13:56:59.000-07:00,restaurant,Kaide Sushi Bar,['sushi']
801,49.1968099,-123.140177,2020-01-13T01:51:46.000-08:00,restaurant,BiBo Italian Restaurant,['italian']
804,49.1967246,-123.1396099,2017-04-27T06:50:34.000-07:00,restaurant,Ryuu Izakaya,['japanese']
805,49.1968225,-123.1404204,2017-04-27T06:50:37.000-07:00,restaurant,Neptune Wonton Noodle,['chinese']
808,49.2909348,-123.1360437,2019-09-13T13:56:59.000-07:00,restaurant,Sushiholic,N/A
809,49.1794492,-123.1341606,2016-10-19T08:11:16.000-07:00,restaurant,Felicos Restaurant,['greek']
810,49.1250427,-123.1853319,2020-01-04T06:29:22.000-08:00,restaurant,Kisamos Greek Taverna,['greek']
811,49.1630451,-123.1363249,2016-10-15T06:26:12.000-07:00,restaurant,Pho Lan Beef Noodle Soup,['vietnamese']
832,49.2812722,-123.0472413,2018-06-20T15:12:21.000-07:00,restaurant,Le Petit Saigon,['vietnamese']
837,49.1624624,-122.655793,2016-10-18T01:14:07.000-07:00,restaurant,Ocean Park Pizza & Steakhouse,N/A
841,49.1761814,-123.1306688,2020-02-01T22:08:40.000-08:00,restaurant,Bull King BBQ,['asian']
842,49.1761102,-123.1309092,2019-09-13T13:56:59.000-07:00,restaurant,Gingeri Chinese Cuisine,['chinese']
843,49.175972,-123.1306582,2019-10-09T05:49:19.000-07:00,restaurant,Happy Lamb Hot Pot,N/A
844,49.1764107,-123.1323338,2016-10-18T05:53:04.000-07:00,restaurant,Toku Japanese Restaurant,['japanese']
851,49.2457903,-122.8916363,2018-05-05T21:21:46.000-07:00,restaurant,Pho 99,['vietnamese']
852,49.2457299,-122.891401,2018-05-05T21:21:46.000-07:00,restaurant,Insadong,['korean']
853,49.2462257,-122.8918439,2019-09-13T13:57:04.000-07:00,restaurant,Best Sushi N Kitchen,"['japanese', 'korean', 'sushi']"
854,49.2451974,-122.8921762,2019-09-13T13:57:04.000-07:00,restaurant,WINGS Tap and Grill,['pub']
856,49.2687365,-123.0457293,2020-03-25T19:22:32.000-07:00,restaurant,Fuku Ramen,N/A
869,49.2827166,-123.1048014,2019-09-18T23:00:49.000-07:00,restaurant,Tacofino,"['taco', 'mexican']"
882,49.2813057,-123.1079703,2018-10-26T20:30:46.000-07:00,restaurant,Mirai Sushi,"['japanese', 'sushi']"
901,49.1960486,-123.177943,2018-10-26T20:30:46.000-07:00,restaurant,Hanami,"['japanese', 'sushi']"
902,49.1653656,-122.6614878,2019-06-07T13:28:04.000-07:00,restaurant,Round Table Pizza,['pizza']
903,49.1674933,-122.6674453,2019-06-07T13:28:04.000-07:00,restaurant,Boston Pizza,['pizza']
906,49.1660159,-122.6635496,2019-03-08T20:32:22.000-08:00,restaurant,Pizza Hut,['pizza']
907,49.1672102,-122.6661043,2019-08-24T15:24:21.000-07:00,restaurant,Montana's,['barbecue']
908,49.168251,-122.6675528,2019-12-20T09:33:37.000-08:00,restaurant,The Barley Merchant,"['burger', 'sandwich', 'pizza', 'regional']"
909,49.2640395,-123.1801008,2019-10-28T15:41:35.000-07:00,restaurant,Green Leaf Sushi,N/A
963,49.2762369,-122.8445501,2019-09-02T22:08:26.000-07:00,restaurant,Namoo Sushi,['sushi']
991,49.2539596,-122.7388737,2019-09-10T18:06:48.000-07:00,restaurant,Swiss Chalet,['chicken']
995,49.2578328,-122.745482,2020-04-17T00:54:38.000-07:00,restaurant,Orrange Kitchen + Bar,N/A
997,49.254477,-122.7379049,2020-04-05T23:19:55.000-07:00,restaurant,Pho 51,['vietnamese']
1001,49.2580763,-122.7458786,2016-11-21T22:26:12.000-08:00,restaurant,Pho Toan Thang,['vietnamese']
1014,49.1152983,-122.6790538,2019-09-02T17:44:42.000-07:00,restaurant,Sushi Mori,['japanese']
1019,49.1437425,-122.7994953,2016-11-24T01:49:12.000-08:00,restaurant,Creekside Grill,['american']
1024,49.3266192,-123.1380363,2018-02-02T14:16:23.000-08:00,restaurant,Trattoria,['italian']
1030,49.1409171,-122.6009339,2016-09-22T03:34:08.000-07:00,restaurant,The Cafe,N/A
1077,49.1758794,-122.8907911,2020-01-08T07:05:26.000-08:00,restaurant,Mirch Masala,['indian']
1078,49.1764733,-122.8896127,2020-01-05T06:53:45.000-08:00,restaurant,Mehfil India Restaurant,['indian']
1079,49.1497112,-122.8645797,2019-09-13T13:56:59.000-07:00,restaurant,Maharaja Sweets and Restaurant,['indian']
1089,49.1911509,-122.8066783,2020-01-06T05:48:30.000-08:00,restaurant,Sabai Thai Restaurant,['thai']
1090,49.1863982,-122.8444496,2017-01-27T06:22:26.000-08:00,restaurant,Fresgo Inn,['american']
1091,49.1876113,-122.8435939,2017-01-27T06:25:19.000-08:00,restaurant,Nahm Thai Bistro,['thai']
1093,49.1781171,-123.1356008,2018-11-07T16:53:31.000-08:00,restaurant,Sun Sui Wah Seafood Restaurant,['chinese']
1097,49.2254234,-123.0655278,2018-10-26T20:30:46.000-07:00,restaurant,Victoria Restaurant,N/A
1248,49.1723013,-122.6674779,2017-11-09T20:59:54.000-08:00,restaurant,Fork N Chopstick,N/A
1250,49.2880008,-123.1403568,2019-09-13T13:56:59.000-07:00,restaurant,Rio Brazilian Steakhouse,N/A
1251,49.28903,-123.1313276,2016-09-26T20:03:55.000-07:00,restaurant,Cinch Grill Italian,N/A
