lat,lon,amenity,name
49.260812,-123.125736,cafe,Starbucks
49.1935797,-123.1807883,cafe,Tim Hortons
49.2284004,-122.8483834,cafe,Tim Hortons
49.212449,-122.9197493,cafe,Tim Hortons
49.212659,-122.9193469,cafe,Starbucks
49.2635825,-123.1288364,cafe,Waves
49.0919518,-122.9576502,cafe,Tim Hortons
49.2685718,-123.1045263,cafe,Argo Cafe
49.278119,-122.9122848,cafe,Starbucks
49.2821554,-123.0998393,cafe,Waves Coffee
49.2831728,-123.0935162,cafe,The Uncommon Cafe
49.2731066,-123.1007271,cafe,Tim Hortons
49.2769081,-122.8589634,cafe,Starbucks
49.2866006,-123.1282087,cafe,Chatime
49.2864194,-123.1272344,cafe,Abode
49.2660115,-123.2423353,cafe,Only U Cafe
49.2814778,-123.1336029,cafe,Exile
49.0408954,-122.2698339,cafe,Starbucks
49.2873431,-123.1143935,cafe,Starbucks
49.2387806,-123.0316319,cafe,Tim Hortons
49.2641324,-123.1816701,cafe,Essentia Cafe
49.2686141,-123.158778,cafe,Starbucks
49.285902899999996,-123.1249177,cafe,Tim Hortons
49.2876133,-123.1149238,cafe,Starbucks
49.2630977,-123.1172998,cafe,Elysian Coffee Roasters
49.212995,-123.1401,cafe,Starbucks
49.3721579,-123.0988075,cafe,Starbucks
49.1797273,-123.137991,cafe,Paul's Kitchen
49.1048167,-122.8022148,cafe,Starbucks
49.1767616,-122.689973,cafe,Tim Hortons
49.2492264,-123.1007752,cafe,Caffe Artigiano
49.2796195,-123.0999337,cafe,Starbucks
49.2327522,-123.1172852,cafe,Blenz
49.2792232,-123.1168269,cafe,Gong Cha
49.0497717,-122.3189143,cafe,Sticky Buns & More
49.197754,-123.1407889,cafe,Caffè Artigiano
49.2543347,-122.737988,cafe,Starbucks
49.257451,-122.7437942,cafe,Tim Hortons
49.2290279,-122.9989508,cafe,Mr. Mustache Tea & Dessert
49.2808856,-123.011264,cafe,Waves Coffee
49.1328835,-122.846132,cafe,Tim Hortons
49.0513372,-122.691921,cafe,Tim Hortons
49.125282,-123.1847472,cafe,Steveston's Coffee Co.
49.2635191,-123.1231332,cafe,Tim Hortons
49.2632049,-123.1070497,cafe,Starbucks
49.2673455,-123.112992,cafe,Starbucks
49.235221,-123.1157169,cafe,Starbucks
49.2273356,-122.9997733,cafe,McCafé
49.2260832,-123.001846,cafe,Blenz Coffee
49.2315873,-123.009736,cafe,Waves
49.2186088,-122.9564849,cafe,Starbucks
49.2285933,-122.9995392,cafe,Sulmida
49.2256778,-122.9973902,cafe,Starbucks
49.2263089,-122.9999809,cafe,Take Five Café
49.2254283,-122.9974687,cafe,Tim Hortons
49.2284012,-123.0046672,cafe,Sunshine
49.2285595,-123.0045242,cafe,Comebuy
49.2505112,-122.8949216,cafe,Grainery
49.2278206,-122.840058,cafe,Starbucks
49.2510633,-122.8951452,cafe,Anna's
49.2504908,-122.8944559,cafe,Starbucks
49.2507164,-122.8956836,cafe,Cinnzeo
49.2808098,-123.1070156,cafe,Caveman Cafe
49.1953219,-123.1781022,cafe,Galiano Bakery & Cafe
49.2865567,-123.1410036,cafe,Tim Hortons
49.1128069,-122.6724406,cafe,Starbucks
49.2829831,-123.1098733,cafe,New Amsterdam Cafe
49.2624382,-123.1007191,cafe,Bean Around The World
49.2624451,-123.1012839,cafe,Kafka's Coffee and Tea
49.2622376,-123.1012945,cafe,Sunny Spot
49.1047469,-122.7990471,cafe,Tim Hortons
49.0448257,-122.778652,cafe,Starbucks
49.1325243,-123.0924899,cafe,Starbucks
49.2656284,-123.2543584,cafe,Tim Hortons
49.2673017,-123.2526955,cafe,Ike's Café
